,Phone_names,Links
0,"POCO C31 (Royal Blue, 64 GB)",https://www.flipkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
1,"realme Narzo 30 5G (Racing Blue, 128 GB)",https://www.flipkart.com/realme-narzo-30-5g-racing-blue-128-gb/p/itm56837fcb0d6f3?pid=MOBG3W3GCZ6FN5WJ&lid=LSTMOBG3W3GCZ6FN5WJTQMY55&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG3W3GCZ6FN5WJ.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
2,"realme 9i (Prism Blue, 64 GB)",https://www.flipkart.com/realme-9i-prism-blue-64-gb/p/itm3e9987219f652?pid=MOBG9VGVKUM4XNRR&lid=LSTMOBG9VGVKUM4XNRR9NHISU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG9VGVKUM4XNRR.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
3,"realme 9i (Prism Black, 64 GB)",https://www.flipkart.com/realme-9i-prism-black-64-gb/p/itm3e9987219f652?pid=MOBG9VGVYG2XHZGR&lid=LSTMOBG9VGVYG2XHZGRYBJYA7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG9VGVYG2XHZGR.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
4,"realme 9i (Prism Blue, 128 GB)",https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHNDMVYNZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG9VGV2Q9PDXHN.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
5,"Infinix HOT 12 Play (Daylight Green, 64 GB)",https://www.flipkart.com/infinix-hot-12-play-daylight-green-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KY6JUTSNCP&lid=LSTMOBGE2KY6JUTSNCPGWOMYY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGE2KY6JUTSNCP.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
6,"realme Narzo 50A (Oxygen Blue, 64 GB)",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4UGGFQWYY&lid=LSTMOBG6MY4UGGFQWYY0MIXVS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG6MY4UGGFQWYY.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
7,"realme Narzo 50A (Oxygen Blue, 128 GB)",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4JGHHADW8&lid=LSTMOBG6MY4JGHHADW8WRSXX9&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG6MY4JGHHADW8.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
8,"realme 9i (Prism Black, 128 GB)",https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGIHXKYW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBG9VGV65TK6YZG.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
9,"realme C20 (Cool Grey, 32 GB)",https://www.flipkart.com/realme-c20-cool-grey-32-gb/p/itmea1903897436b?pid=MOBGF489SQZCFHYA&lid=LSTMOBGF489SQZCFHYAGB7SDS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_na&fm=organic&iid=083e7faa-3574-4060-8f05-62f1060f5fac.MOBGF489SQZCFHYA.SEARCH&ppt=None&ppn=None&ssid=703lh98zkw0000001654670365948&qH=eb4af0bf07c16429
